ID,school_name,road_name,postal_code,facilities,Longitude,Latitude
112,Evergreen Secondary School,11 Woodlands Street 83,738489,Chargeable Field,103.7937715,1.441220836
113,Fengshan Primary School,307 Bedok North Road,469680,Free To Play Field,103.9317103,1.329805997
114,Fernvale Primary School,1 Fernvale Lane,797701,Free To Play Field,103.874101,1.389979401
115,First Toa Payoh Secondary School,580 Toa Payoh East,319133,Chargeable Field,103.8586287,1.332740874
116,Frontier Primary School,20 Jurong West Street 61,642656,Indoor Sports Hall,103.6994258,1.335913143
117,Queensway Secondary School,2A Margaret Drive,149295,"Chargeable Field, Indoor Sports Hall",103.8017236,1.300475166
118,Radin Mas Primary School,1 Bukit Purmei Avenue,99840,Free To Play Field,103.82418,1.274961618
119,Regent Secondary School,50 Choa Chu Kang North 5,689621,Chargeable Field,103.7506856,1.393094078
120,Riverside Secondary School,3 Woodlands Street 81,738524,"Chargeable Field, Indoor Sports Hall",103.7883135,1.441077945
121,Rosyth Primary School,21 Serangoon North Avenue 4,555855,Free To Play Field,103.8746933,1.372915791
122,Sembawang Primary School,10 Sembawang Drive,757715,Free To Play Field,103.8210215,1.445043633
123,Sembawang Secondary School,30 Sembawang Crescent,757704,"Chargeable Field, Indoor Sports Hall",103.8168433,1.445315015
124,Sengkang Secondary School,10 Compassvale Lane,545090,Chargeable Field,103.898356,1.386588283
125,Serangoon Secondary School,11 Upper Serangoon View,534237,Chargeable Field,103.9021387,1.374655379
126,Serangoon Garden Secondary School,21 Serangoon North Avenue 1,555889,"Chargeable Field, Indoor Sports Hall",103.8692703,1.369325701
127,Shuqun Secondary School,450 Jurong East Street 21,609604,"Chargeable Field, Indoor Sports Hall",103.7394701,1.340343393
128,Si Ling Primary School,61 Woodlands Avenue 1,739067,Free To Play Field,103.7857788,1.432699855
129,Si Ling Secondary School,11 Marsiling Lane,739148,Chargeable Field,103.7750003,1.444736078
130,Siglap Secondary School,10 Pasir Ris Drive 10,519385,Chargeable Field,103.9389225,1.379391327
131,South View Primary School,6 Choa Chu Kang Central,689762,Free To Play Field,103.7470307,1.38147877
132,Springfield Secondary School,30 Tampines Avenue 8,529593,Chargeable Field,103.9302183,1.349575623
133,St Gabriel'S Secondary School,24 Serangoon Avenue 1,556140,"Chargeable Field, Indoor Sports Hall",103.8757343,1.34664416
134,Tanglin Secondary School,301 West Coast Road,127391,Chargeable Field,103.7581584,1.309701696
135,Broadrick Secondary School,61 Dakota Crescent,399935,Chargeable Field,103.8866754,1.307505381
136,Bukit Merah Secondary School,10 Lengkok Bahru,159050,Chargeable Field,103.8130231,1.285784141
137,Bukit Panjang Primary School,109 Cashew Road,679676,Free To Play Field,103.7693175,1.373472187
138,Bukit View Secondary School,16 Bukit Batok Street 21,659633,"Chargeable Field, Indoor Sports Hall",103.7522266,1.345733053
139,Canberra Secondary School,51 Sembawang Drive,757699,Chargeable Field,103.8141949,1.453224915
140,Casuarina Primary School,30 Pasir Ris Street 41,518935,Free To Play Field,103.9570203,1.372460631
141,Bukit Panjang Government High School,7 Choa Chu Kang Avenue 4,689809,Indoor Sports Hall,103.7383539,1.382225569
142,Cantonment Primary School,1 Cantonment Close,88256,Indoor Sports Hall,103.8399626,1.275472527
143,Dunman High School,10 Tanjong Rhu Road,436895,Indoor Sports Hall,103.8829416,1.299961907
144,Edgefield Secondary School,36 Punggol Field,828814,Indoor Sports Hall,103.9021412,1.400179291
145,Hougang Secondary School,2 Hougang Street 93,534256,Indoor Sports Hall,103.8818716,1.378155871
146,Jurongville Secondary School,202 Jurong East Avenue 1,609790,Indoor Sports Hall,103.7289077,1.351288618
